Place of Interest|tipo_centro|Place address|BiciMAD Station|Station Location|dock_bikes
Auditorio Carmen Laforet (Ciudad Lineal)|Centros Culturales|CALLE JAZMIN 46|Manuel Caldeiro|Paseo de la Castellana nº 298|16
Auditorio al aire libre. Parque del Calero|Centros Culturales|CALLE JOSE DEL HIERRO 3|C.D. Concepción|Calle Jose del Hierro nº 5|3
Auditorio y sala de exposiciones Paco de Lucía (Latina)|Centros Culturales|AVENIDA LAS AGUILAS 2 A|Caramuel|Calle Caramuel nº 51|14
Casa Museo Lope de Vega|Museos|CALLE CERVANTES 11|Huertas|Calle Jesús nº 1|10
Casita - Museo del Ratón Pérez|Museos|CALLE ARENAL 8 PLANTA 1.ª|Plaza de Celenque A|Plaza de Celenque nº 1|1
Castillo de la Alameda|Museos|CALLE ANTONIO SANCHA 1|Gutierre de Cetina|Calle Gutierre de Cetina nº 77|18
Casón del Buen Retiro. Centro de Estudios del Museo Nacional del Prado|Museos|CALLE ALFONSO XII 28|Antonio Maura|Calle Antonio Maura nº 15|9
Centro Comunitario Casino de la Reina|Centros Culturales|CALLE CASINO 3|Embajadores 2|Glorieta de Embajadores nº 2|3
Centro Cultural - Centro Socio Cultural Villa de Barajas|Centros Culturales|CALLE BOTICA 7 y 10|Gutierre de Cetina|Calle Gutierre de Cetina nº 77|18
Centro Cultural Alfredo Kraus (Fuencarral - El Pardo)|Centros Culturales|GLORIETA PRADERA DE VAQUERIZAS 9|Pedro Rico|Calle Pedro Rico nº 4|13
Centro Cultural Antonio Machado (San Blas - Canillejas)|Centros Culturales|CALLE SAN ROMÁN DEL VALLE 8|Gutierre de Cetina|Calle Gutierre de Cetina nº 77|18
Centro Cultural Auditorio Parque El Paraíso (San Blas - Canillejas)|Centros Culturales|AVENIDA ARCENTALES 4|Gutierre de Cetina|Calle Gutierre de Cetina nº 77|18
Centro Cultural Buenavista (Salamanca)|Centros Culturales|AVENIDA TOREROS 5|Avenida de los Toreros|Avenida de los Toreros nº 3|17
Centro Cultural Buero Vallejo (San Blas - Canillejas)|Centros Culturales|CALLE BOLTA&amp;Ntilde;A 27|Gutierre de Cetina|Calle Gutierre de Cetina nº 77|18
Centro Cultural Carril del Conde (Hortaleza)|Centros Culturales|CALLE CARRIL DEL CONDE 57|Condesa de Venadito|Calle Condesa de Venadito nº 2|13
Centro Cultural Casa de Vacas (Retiro)|Centros Culturales|PASEO COLOMBIA 1|Velázquez|Calle Alcalá nº 95|22
Centro Cultural Casa del Reloj (Arganzuela)|Centros Culturales|PASEO CHOPERA 6 Y 10|Jaime el Conquistador|Calle Jaime el Conquistador nº 30|12
Centro Cultural Ciudad Pegaso (San Blas - Canillejas)|Centros Culturales|AVENIDA SÉPTIMA 11|Gutierre de Cetina|Calle Gutierre de Cetina nº 77|18
Centro Cultural Dotacional Integrado Arganzuela|Centros Culturales|CALLE CANARIAS 17|Palos de la Frontera|Calle Palos de la Frontera nº 27|11
